word,importance
number,3.3904946792615296
good,3.0856783608876364
free,2.8008711051231083
send,2.7905731056596945
was,2.549249030894947
text,2.518083970433811
get,2.500975450728724
then,2.450938099372679
well,2.3731795826792306
i,2.293312156995696
is,2.248639181018065
the,2.2450030341861975
like,2.210128858683333
when,2.0162340426647285
has,2.0006831735577526
now,1.985451505908335
if,1.9025397058037865
are,1.7144302127321223
to,1.709620267156521
got,1.6121224012914865
know,1.6074144744075418
he,1.6039027847888585
want,1.578260230440213
call,1.5759618235923964
sorry,1.5226498045673211
we,1.519975772951276
think,1.489965716480039
of,1.4791046280108313
with,1.4361570075765233
they,1.431937451805223
do,1.4280901163196962
am,1.4184963903465784
ok,1.4132965915345626
but,1.3889918642155572
back,1.3842752888815915
all,1.334543994167285
so,1.3081461935538083
any,1.2462946129249572
take,1.2377506148933988
there,1.2329036092961716
on,1.217114549450824
about,1.2157597275008514
just,1.1881455640941796
or,1.1739350216030908
not,1.1542213247812048
lor,1.1458421799671246
from,1.1121582564493528
be,1.1062875413310898
out,1.100600999369266
at,1.0881061985027323
our,1.0814833161934438
4,1.0720713628174383
a,1.066855620251688
today,0.9834812908182515
hello,0.9681495844561596
only,0.9547877413947379
how,0.9487982580106816
still,0.920274587229406
2,0.9045570000726655
that,0.9036269287913472
day,0.8250015947754888
my,0.7834668407032002
tell,0.7679164186237412
me,0.7640471875760291
i'm,0.7543783932938298
see,0.7308372569972221
can,0.7194993292509598
come,0.6958244304926646
going,0.6487748592282514
as,0.6077850167700637
will,0.5875224413013262
ur,0.5759525912277706
time,0.5758489130657635
please,0.5588326358524974
ü,0.5520165758606985
u,0.5520165758606985
it,0.4135592600789216
have,0.3964380940650278
i'll,0.393622124316725
ltgt,0.36931406607618456
its,0.34011022490888665
for,0.32777675933620276
love,0.31513040972038364
what,0.29626841861882913
this,0.29504125331280584
in,0.23823669648924795
go,0.22207978193388134
home,0.2113350175493276
dont,0.1758083467802345
and,0.13880752296535195
need,0.13739710793282245
by,0.10852115473424512
one,0.09855495267324627
been,0.08750250816870153
up,0.07271203694718364
you,0.05236788385478111
don't,0.04053782187837007
sir,0.03776806838612304
no,0.023333219675860217
your,0.012949178863979838
